id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
547255,Shelter: Human Stories from Central America,0.0,0,Released,,0,14,False,,0,http://mkf.tv/Shelter,,en,Shelter: Human Stories from Central America,A quiet look at the lives on the line. First-hand stories from Central America migrants and asylum seekers searching for a better life in the north.,0.6,,,Documentary,Firpo Industries,Mexico,,
1220503,Santh Wahate Krishna Mai,0.0,0,Released,1967-07-01,0,0,False,,0,,tt8482096,mr,संथ वाहते कृष्णा माई,"Directed by Madhukar Pathak. With Kamini Kadam, Chandrakant Mandhre, Raja Paranjpe, Arun Sarnaik.",0.0,,,,,,Marathi,
1360352,MININVASION,0.0,0,Released,2024-09-22,10,3,False,/4TL3lzKanHyEqQMQIgKQlxeeYmt.jpg,10,,,en,MININVASION,A gigantic green monster devours everything in sight and causes the miniapocalypse.,1.4,/slB0s8ycVgMNIeCc86Bh56B3WlP.jpg,MINIAPOCALYPSE NOW,"Animation, Action, Comedy, Adventure",SantiFilms,Guatemala,English,"invasion, monster movie"
178592,Tiger & Bunny: The Beginning,6.533,15,Released,2012-09-22,0,88,False,/gzBVylQP2AbjacSj1oHeZR08u2g.jpg,0,http://www.tigerandbunny.net/main.html,tt2507174,ja,劇場版 TIGER & BUNNY -The Beginning-,"Set on an alternative Earth, Superheroes are celebrities and a high rating TV show rates their achievements, awarding them points until an annual King of Heroes is crowned. Old-school hero Wild Tiger is assigned a new partner with very different views on the heroes role in society but soon a vigilante criminal presents them with a serious problem.",7.243,/mQ7qAsev0trm7jwiXoNHeXCWYHn.jpg,,"Animation, Action, Science Fiction","SUNRISE, Bandai Visual, MBS, TOY'S FACTORY, Shochiku, T-JOY, Bandai, Asatsu-DK",Japan,Japanese,"superhero, superhero team, anime"
631009,Vrienten & Vrienten in: Basmannen,0.0,0,Released,2019-01-10,0,54,False,,0,,tt9421920,en,Vrienten & Vrienten in: Basmannen,"It is his own son Xander, who is currently causing a furore with Jett Rebel, who points out to his father the changing times. Both men share their love for the bass guitar, visit many colleagues and show us the tantalizing clash of generations.",0.6,/8sojgeVNaYTgk5yefYQp8DzYNza.jpg,,Documentary,,,,bass guitarist
1132309,Ariana Grande - Positions Album (Official Live Performances) | Vevo,10.0,1,Released,2021-06-21,3000000,23,False,,25000,,tt15168524,en,Ariana Grande - Positions Album (Official Live Performances) | Vevo,"If our Official Live Performances of “pov,” “positions,” “safety net,” “my hair,” “34+35,” and “off the table” reveal anything, it’s that Ariana Grande excels at her job because she’s so passionate about the results. You don’t hit the high notes, you don’t exude candor, and you don’t make pop music as moving as she does without crossing the T’s and dotting the I’s. A very cool Cali session with the look and feel of a cozy little meadow was a perfect place to turn some of the best tunes on ‘Positions’ into utterly memorable performances. Now they’re all in one place. Just press play.",0.6,/y5bejjBO39qMuPdsuLWYqJZ5zNO.jpg,,Music,,,English,
271257,DJ Domination: World Domination,0.0,0,Released,2004-01-01,0,0,False,,0,,tt1674684,en,DJ Domination: World Domination,"Documentary - Go backstage with hip hop's premier mixologist, DJ Domination. See how the most creative captain of cuts rolls as he hangs with hip hop's elite. Features Ludacris, Scarface, Busta Rhymes, Destiny's Child, Shaq, Ice T, and more. -  Domination, Ice-T, Ludacris",0.6,,,,,,,
1388720,Bird,0.0,0,Released,,0,1,False,,0,,,en,Bird,A flock of birds moves in abstract pattern over land and water.,0.0,,,,,,,
893046,Mr. Landsbergis,8.25,4,Released,2021-11-20,0,246,False,/qziPMIryeP0DmhBmEY3KG2mFPY2.jpg,0,,tt15938750,lt,Господин Ландсбергис,"This film about the Baltic nation of Lithuania from 1989 to 1991, when it broke away from the Soviet Union. This period of peaceful protests involving lots of singing came to be known as the ""singing revolution.""",0.6,/soYDTqQtJkLMZWAV8DqrFoxlS6E.jpg,,Documentary,"Studio Uljana Kim, Atoms & Void, Current Time TV","Lithuania, Netherlands","Lithuanian, Russian",
1075972,Trans-Visions 11,0.0,0,Released,,0,165,True,,0,,,en,Trans-Visions 11,"On his never-ending search for the world's hottest T-girls, porn legend Joey Silvera scours East Asia, North America and Latin America. The resulting Trans-Visions 11 features glamorous, young TS dolls in oral and anal action with male studs and other trans beauties, as well as in solo masturbation sessions. Stud Gabriel reams stunning TS princess Lena Kelly until her tight rectum gapes. Lena cums all over her own pretty face! Busty Brazilian T-girls Melyna Merlin and Thais Tavares form an ass fucking and cocksucking daisy chain with handsome Alex Victor. Macho boy Youlian anally fucks slim, buxom Vivi Isobelle; they cum on each other's face. Sassy transsexual Nanda Molinari shares intense anal fucking with her man, and they mutually masturbate to a creamy climax. Lauynnia Ferraz fingers her tender butthole while steadily pumping her engorged T-meat until it erupts. Youlian's oversized cock stretches Bangkok ladyboy Alice's tiny rectum. The lovers exchange oral cum shots.",0.6,/AaUlLFZgOjG7Ihb0wCwB0QhXMLC.jpg,,,,,"English, Portuguese",
137847,Not of This Earth,4.444,9,Released,1995-09-05,0,83,False,/2HtLxxYppz9ET22mCKVT1oRqIE0.jpg,0,,tt0114004,en,Not of This Earth,"An anemic alien comes to Earth from a dying planet, in the remake of the Corman 50s classic.",2.645,/CiBH52eCnNbsc6xduRXnsIGgzL.jpg,They've crossed the galaxy in search of our blood.,"Science Fiction, Horror",Concorde-New Horizons,United States of America,English,alien
1324891,Coke in the Hole,0.0,0,Released,1972-01-01,0,8,False,,0,,,en,Coke in the Hole,"Performance documentation as part of the “Video Communications: Do-It-Yourself Kit Event”. 18 TV monitors, 18 Coke bottles: A performer beneath the table reaches through a hole for a Coke bottle above the table, pouring its contents out. With the first pouring, the first monitor turns on, which displays a Coke bottle emptying; all other Coke bottles are emptied and monitors are turned on. The industrial mass production of Coke bottles is mirrored by the media’s endless replications.",0.6,,,,,,,
1381287,Sisterz,0.0,0,Released,2024-11-01,0,13,False,/pijwkhJ9FR2Io5pA6yu9ZUOER51.jpg,0,,,he,סיסטרז,"Tom runs away to her estranged drag queen brother, Dor. In a moment of compassion and solidarity, Dor allows Tom to spend the night. Tom and Dor explore their identity and connection, revealing truths they both suppressed.",1.4,,,Drama,,,Hebrew,
446645,Estafa de amor,6.0,5,Released,1955-06-29,0,93,False,,0,,tt0249500,es,Estafa de amor,Bad woman plays three men off each other while enjoying the attentions of all three; a great many lives are disrupted as a result of her wickedness.,1.111,/man6ijAthssgCFZVmSMMUukHqBv.jpg,,Drama,,,,
1215266,"AHRIMAN, PART 1: Death Before Dying",0.0,0,Released,,0,99,False,,0,,tt13280512,en,"AHRIMAN, PART 1: Death Before Dying",The possession of a soul by an evil entity causes an imbalance in the timeline that only a celestial being can rectify.,0.0,,,,,,,
